node,adj nodes
419074744,"[419074449, 419074441, 419074949, 419074596, 419074782]"
419066851,"[419066864, 419063955, 419066978]"
419066864,"[419063737, 419063876, 419066978, 419066851]"
419050683,"[419050627, 1240902973, 419050682]"
1240902973,"[419050683, 1240902982, 419050806]"
419050806,"[419051005, 419050808, 419051102, 1240902973]"
419051102,"[419051099, 419050806, 419052940]"
419052940,"[1609954148, 419051102, 419052946]"
1609954148,"[1631436529, 5325544058, 419052940]"
1631436529,"[1609954148, 1631436529, 419052721]"
419052721,"[419053186, 1631436529, 419052721]"
419053186,"[419053186, 1610340491, 419053200, 419052721]"
1260675069,"[419066925, 1260675072, 419066853]"
419066853,"[419066925, 419063903, 1260675069]"
419066925,"[419066853, 419066472]"
419074665,"[419074889, 419074664, 1296953097, 419074159, 1296958409]"
419074765,"[419074889, 419073428, 419074331, 419073532]"
419073428,"[419073560, 419073676, 419074765]"
419073560,"[419073583, 419074727, 419073428, 419073689]"
419073688,"[419073583, 419073915, 419073541, 419073860]"
419073860,"[419074068, 419073688, 419073665, 419073959]"
419074068,"[419072837, 419074159, 419073860, 419074166, 419073906]"
419074159,"[419074179, 419074100, 419074068]"
419066472,"[419066640, 419066925, 419065661]"
419072818,"[419074197, 419073234, 419072907]"
419072907,"[419074186, 419072818, 419072875, 419073150]"
419072875,"[419072856, 419072987, 419072907]"
419072987,"[419073058, 419072870, 419073194, 419072875]"
419073160,"[419073365, 419073058, 419073234]"
419073234,"[419073102, 419073160, 419073372]"
419064851,"[419064833, 419064897, 419063064, 419063999]"
419063999,"[419064851, 419064085, 419061181]"
419074241,"[1296953097, 419075385, 1296958409]"
1296958409,"[419074241, 419074454, 419074665]"
419064897,"[419064851, 419064833, 419065143]"
419064833,"[419064851, 419063071, 419064897]"
419075385,"[419074241, 419075266, 419075370]"
419075116,"[419075018, 419075206, 419070511, 419070991, 419075505, 419075116]"
419075018,"[419070510, 419071030, 419075206, 419075116]"
419075206,"[419075018, 419075041]"
419070664,"[419075041, 419071089, 419070189, 419070429]"
419075041,"[419070510, 419070664, 419075006, 419075206]"
419075104,"[419070667, 419070628, 419075027, 419075438, 419075019]"
419070628,"[419075104, 419070549, 419070601]"
419070601,"[419070628, 419070259, 419070605]"
419070605,"[419070667, 419070601, 419071994, 419071056]"
419070667,"[419070605, 419070194, 419071380]"
419077949,[419073287]
419077990,"[419077964, 419078096]"
419078096,"[419073365, 419077990, 419078082]"
419073365,"[419073160, 419073287, 419078096]"
419073287,"[419073365, 419073330, 419073420]"
419066840,"[419066938, 419066958, 419063867]"
419066938,"[419066953, 419066735, 419066840]"
419066781,[419066840]
419073535,"[419074800, 419073773, 419073665, 419073860]"
419073665,"[419073535, 419073541, 419073860, 419073906]"
419073683,"[419073773, 419073543, 419074596, 419074806]"
419074806,"[419073683, 419073543, 419074596, 419074949]"
419074596,"[419074857, 419074806, 419074744]"
419074276,"[419074550, 419074102, 419075438, 419075019, 419074520]"
419075019,"[419075104, 419074276, 419075149]"
419073906,"[419074068, 419073773, 419073665, 419073974]"
419073851,"[419074800, 419073773, 419073579, 419073974]"
419073773,"[419073535, 419073683, 419073851, 419073906]"
419074800,"[419074890, 419073541, 419073535]"
419072903,"[419072994, 419072870, 419072930, 419072999]"
419072994,"[419072870, 419072814, 419072903]"
419072870,"[419072987, 419072994, 419072814]"
419067463,"[419067268, 419066475, 419067420, 419066447]"
419067420,"[419066414, 1520646544, 419066447, 419067463]"
419066447,"[419067420, 419066534, 1516162442]"
419074857,"[419074782, 419074596, 419073543, 419073906]"
419073543,"[419074857, 419073683, 419073579, 419074806]"
419074949,"[419074890, 419074806, 419073579, 419074744]"
419073579,"[419074782, 419073543, 419073851]"
419067388,"[419067376, 419067472, 419067193]"
419067472,"[419067520, 419067422, 419067388]"
419065954,"[419066062, 419065948, 419065954]"
419065847,[419065954]
419073959,"[419074166, 419074053, 419073860]"
419074166,"[419074068, 419072837, 419073959]"
419063210,"[419063460, 419063404, 419063277]"
419063404,"[419063311, 419063195, 419063210, 419063460]"
419063460,"[419063524, 419063404, 419063671]"
4310540723,[419063210]
419074186,"[419072856, 419074053, 419072907]"
419067376,"[1474201851, 419067256, 419065505, 419067388]"
419067193,"[419067256, 419067520, 419066534, 419067388]"
419067256,"[419065583, 419067268, 419067193]"
419073541,"[419074800, 419073688, 419073665, 419073974]"
419073974,"[419072855, 419074100, 419073851, 419073906, 419072903]"
419072837,"[419074179, 419072814, 419074166]"
419075463,"[419075407, 419075366, 419073194]"
419074640,"[419074684, 419074556, 419074782]"
419074782,"[419074857, 419074640, 419073579]"
419072814,"[419072856, 419072994, 419072837, 419072870]"
419073960,"[1003572886, 419073723, 419073708]"
419073723,"[419070184, 419073960, 419073708]"
419072856,"[419074186, 419072814, 419072875]"
419074979,[419070115]
419070115,"[419070187, 419070326]"
419074169,[419073860]
419074053,"[419074186, 419073915, 419073959]"
419068653,"[419068647, 419067717, 419068657]"
419067717,"[419068653, 419067759, 2117963868]"
419075505,"[419075419, 419075437, 419074358, 419075116]"
419070121,"[419070785, 419070144, 419070425, 419070220]"
419070425,"[419070121, 419070538, 1293212620, 419075370]"
419075370,"[419075229, 1293212616, 419070425, 419075385]"
1296953097,"[419074241, 419074664, 419074665]"
419074664,"[419073463, 419074665, 1296953097]"
419071065,"[419070284, 419071236, 419070593]"
419070593,"[419070549, 419071065, 419070220]"
419070538,"[419070317, 419070169, 419070425]"
419070317,"[419070353, 419070538, 419070144]"
419076800,"[419076681, 419076699, 419076772, 419076824]"
419076772,"[419076800, 419076822, 419076964]"
419076681,"[419076582, 419076699, 419076800]"
419076699,"[419076552, 419076681]"
419076058,[419076800]
419070169,"[419075229, 419070538, 419070137, 419070628]"
419070137,"[419071142, 419070169, 419070353, 5317915469]"
419070353,"[419070137, 1293164800, 419070317]"
419070144,"[419070121, 419070690, 419070317]"
419070220,"[419070121, 419071236, 419070593]"
419070549,"[419070628, 419070259, 419070284, 419070593]"
419086194,"[419085500, 419086194, 419086814]"
419085703,[419086194]
419102961,"[419103619, 419104196, 419104462, 419103358]"
419103619,"[419102961, 419103433, 419104045]"
419103433,"[419104876, 419103977, 419104183, 419103619]"
419104183,"[419103977, 419103971, 419103433]"
419103971,"[419104183, 419104758, 419104196, 419094878]"
419104196,"[419104862, 419103971, 419104462]"
419070779,"[419070785, 419070697, 419070284, 419071236]"
419071236,"[419071065, 419070779, 419070220]"
419070284,"[419071065, 419070259, 419072648, 419071056]"
419070451,"[419075103, 419070606, 419070510, 419070511]"
419070510,"[419075041, 419075018, 419070451, 419070189]"
419075006,"[419075041, 419075202, 419070429]"
419075202,"[419075103, 419075006, 419070502]"
419075103,"[419075202, 419070502]"
419104462,"[419104196, 419095960, 419104174, 419102961]"
419070189,"[419070510, 419070664, 419071030, 419070146]"
419071056,"[419071326, 419070697, 419070284, 419070605]"
419070697,"[419071994, 419070779, 419070966, 419071056]"
419101891,[419103207]
419103207,[419101891]
419070108,"[419071474, 419071151, 419070194, 419070330]"
